"model","elpd","se","p_loo","looic"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-49.0538708419509,5.06611837065457,9.20929589395665,98.1077416839018
"c-PHYSICAL_SPEED",-48.8409029304917,4.33089719508857,5.99634780745815,97.6818058609835
"c-PHYSICAL",-48.6190997687603,4.15731568022008,5.32973679971633,97.2381995375206
"c-DEPRESSION",-49.5316923385872,2.94172706759395,1.82122903400684,99.0633846771743
"c-SPEED",-49.1136330472533,2.84053903819172,1.56470306346225,98.2272660945066
"c-COGNITIVE",-54.4950961358275,1.8751141188913,3.41732148502353,108.990192271655
"spline-c-COGNITIVE",-52.9204104733295,2.47350267730197,5.1231731898625,105.840820946659
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-51.5434796972089,6.20194082377513,17.4626693500882,103.086959394418
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-49.0338318376211,5.12844294127188,12.8617977913233,98.0676636752422
"hierarchical-GENDER-c-SPEED_DEPRESSION",-48.2065663399878,4.15916438150087,4.62722040608727,96.4131326799757
"hierarchical-AGE_GROUP-c-SPEED",-49.1481796133948,3.34003306696073,3.86458311399945,98.2963592267896
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-53.9614297392229,3.30253273111455,8.33223867904286,107.922859478446
