"model","intercept","intercept_se","n_obs","formula"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.241422600438075,0.278838456016632,76,"list()"
"c-PHYSICAL_SPEED",-0.229823846449993,0.262225757366601,76,"list()"
"c-PHYSICAL",-0.200874023641833,0.26017000445458,76,"list()"
"c-DEPRESSION",-0.255691805397005,0.235383216752259,76,"list()"
"c-SPEED",-0.278689979395599,0.237339655057115,76,"list()"
"c-COGNITIVE",-0.262171506279155,0.239170788629376,76,"list()"
"spline-c-COGNITIVE",-0.302897928508117,0.245592217292477,76,"list()"
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.272705291474668,0.517442707526206,76,"list()"
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.121294559438796,0.607912022138492,76,"list()"
"hierarchical-GENDER-c-SPEED_DEPRESSION",-0.244851552332774,0.48524024660488,76,"list()"
"hierarchical-AGE_GROUP-c-SPEED",-0.194878292667464,0.481564101625357,76,"list()"
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-0.242681520988855,0.466610257562529,76,"list()"
