"model","elpd","se","p_loo","looic"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-50.5096131677141,5.51624995556344,10.7121796899351,101.019226335428
"c-PHYSICAL_SPEED",-49.7453487579312,4.71603052452735,6.9229990762652,99.4906975158623
"c-PHYSICAL",-49.4107443091658,4.55114834188005,6.13225551082149,98.8214886183315
"c-DEPRESSION",-49.6357406508152,3.100805176893,1.94090274223254,99.2714813016305
"c-SPEED",-49.1136330472533,2.84053903819172,1.56470306346225,98.2272660945066
"c-COGNITIVE",-54.6048886467846,2.0123649582297,3.54977010405945,109.209777293569
"spline-c-COGNITIVE",-53.2382220866333,2.5688982379859,5.55749909325202,106.476444173267
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-53.7716559355884,7.10381645755373,20.0074442251455,107.543311871177
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-50.973779059431,5.67557193682713,15.0247436224771,101.947558118862
"hierarchical-GENDER-c-SPEED_DEPRESSION",-48.6071843472663,4.46950376828046,5.08546638707913,97.2143686945327
"hierarchical-AGE_GROUP-c-SPEED",-49.1481796133948,3.34003306696073,3.86458311399945,98.2963592267896
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-54.3335843916928,3.46041150525477,8.76042744476888,108.667168783386
